account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,customer_service_calls,churn,local_area_code,phone_num,city
86,no,yes,33,253.1,112,43.03,210.1,94,17.86,95.0,98,4.27,3,0,321.0,3852.0,Orlando
104,no,no,0,280.4,127,47.67,179.4,79,15.25,150.6,77,6.78,5,0,727.0,2026.0,Clearwater
41,no,no,0,223.8,67,38.05,244.8,74,20.81,223.8,156,10.07,3,0,727.0,2413.0,Clearwater
210,no,yes,31,313.8,87,53.35,147.7,103,12.55,192.7,97,8.67,3,0,850.0,7802.0,Tallahassee
102,no,no,0,242.2,88,41.17,233.2,89,19.82,188.5,121,8.48,3,0,321.0,2726.0,Orlando
119,no,no,0,230.4,117,39.17,225.0,101,19.13,198.5,111,8.93,3,0,305.0,4795.0,Miami
50,no,yes,31,302.7,93,51.46,240.5,119,20.44,193.9,103,8.73,3,0,305.0,6436.0,Miami
67,no,no,0,260.4,107,44.27,208.2,104,17.7,207.9,115,9.36,6,0,813.0,5370.0,Tampa
136,yes,no,0,256.8,90,43.66,230.1,104,19.56,143.6,82,6.46,3,0,786.0,8596.0,Miami
71,no,no,0,258.4,132,43.93,126.8,119,10.78,182.4,87,8.21,4,0,386.0,7166.0,Daytona Beach
101,no,no,0,232.7,114,39.56,186.4,123,15.84,153.3,122,6.9,5,0,321.0,2985.0,Orlando
101,no,no,0,248.6,102,42.26,174.9,93,14.87,207.2,86,9.32,3,0,321.0,7234.0,Orlando
37,no,no,0,221.0,126,37.57,204.5,110,17.38,118.0,98,5.31,4,0,904.0,2238.0,Jacksonville
104,no,no,0,264.0,108,44.88,132.2,75,11.24,177.7,91,8.0,3,0,386.0,6081.0,Daytona Beach
179,yes,yes,38,220.1,78,37.42,234.3,71,19.92,237.3,85,10.68,4,0,561.0,3412.0,West Palm Beach
131,no,yes,28,249.6,87,42.43,227.2,138,19.31,239.9,92,10.8,3,0,561.0,5012.0,West Palm Beach
157,no,no,0,220.7,105,37.52,119.3,127,10.14,165.1,113,7.43,4,0,850.0,9783.0,Tallahassee
128,no,no,0,247.3,91,42.04,182.7,60,15.53,143.2,112,6.44,3,0,561.0,7461.0,West Palm Beach
28,no,no,0,236.8,102,40.26,167.1,87,14.2,280.2,115,12.61,3,0,786.0,5014.0,Miami
110,no,no,0,242.5,110,41.23,162.3,140,13.8,184.1,86,8.28,4,0,727.0,6703.0,Clearwater
85,no,no,0,222.3,132,37.79,231.5,101,19.68,223.5,75,10.06,3,0,904.0,1962.0,Jacksonville
85,no,yes,21,283.2,110,48.14,239.7,108,20.37,149.5,80,6.73,5,0,786.0,6668.0,Miami
137,no,no,0,230.2,113,39.13,220.4,79,18.73,204.7,111,9.21,4,0,727.0,8581.0,Clearwater
83,no,yes,30,272.5,105,46.33,253.0,83,21.51,180.8,123,8.14,3,0,561.0,6074.0,West Palm Beach
112,no,yes,31,225.2,89,38.28,256.8,117,21.83,249.7,87,11.24,4,0,305.0,5601.0,Miami
115,no,no,0,268.0,115,45.56,153.6,106,13.06,232.3,65,10.45,3,0,813.0,1400.0,Tampa
77,no,no,0,239.2,114,40.66,150.0,115,12.75,160.8,81,7.24,5,0,904.0,1252.0,Jacksonville
85,no,no,0,225.0,81,38.25,176.9,63,15.04,194.3,110,8.74,3,0,727.0,5616.0,Clearwater
68,no,no,0,222.8,99,37.88,175.8,85,14.94,202.0,111,9.09,3,0,386.0,1659.0,Daytona Beach
95,no,no,0,238.1,65,40.48,187.2,98,15.91,190.0,115,8.55,4,0,904.0,2577.0,Jacksonville
111,no,no,0,222.2,96,37.77,162.5,111,13.81,184.9,120,8.32,4,0,239.0,7118.0,Cape Coral
121,no,yes,31,263.1,70,44.73,279.3,118,23.74,127.1,143,5.72,5,0,941.0,9572.0,Sarasota
133,no,yes,39,239.9,107,40.78,253.8,77,21.57,128.7,85,5.79,5,0,407.0,1464.0,Orlando
189,no,no,0,227.8,124,38.73,169.5,112,14.41,201.1,91,9.05,3,0,239.0,6501.0,Cape Coral
133,no,no,0,221.1,133,37.59,160.2,140,13.62,161.8,84,7.28,4,0,305.0,4007.0,Miami
116,no,no,0,245.9,73,41.8,240.1,87,20.41,158.7,89,7.14,3,0,407.0,6832.0,Orlando
152,no,yes,20,239.1,105,40.65,209.1,111,17.77,268.2,130,12.07,5,0,239.0,7077.0,Cape Coral
105,no,no,0,259.3,96,44.08,175.2,97,14.89,222.4,36,10.01,3,0,813.0,3145.0,Tampa
138,no,no,0,251.0,119,42.67,91.2,96,7.75,142.2,87,6.4,3,0,239.0,7521.0,Cape Coral
78,no,no,0,252.9,93,42.99,178.4,112,15.16,263.9,105,11.88,3,0,321.0,9510.0,Orlando
13,no,yes,21,315.6,105,53.65,208.9,71,17.76,260.1,123,11.7,3,0,850.0,7120.0,Tallahassee
6,no,no,0,226.5,93,38.51,152.1,122,12.93,164.4,98,7.4,3,0,813.0,1331.0,Tampa
74,no,no,0,262.3,114,44.59,198.9,96,16.91,165.9,90,7.47,3,0,904.0,6533.0,Jacksonville
96,no,yes,45,248.8,124,42.3,140.3,77,11.93,263.6,102,11.86,3,0,321.0,9187.0,Orlando
124,no,no,0,234.4,61,39.85,179.3,111,15.24,285.5,117,12.85,3,0,850.0,5628.0,Tallahassee
160,no,no,0,256.0,111,43.52,187.4,61,15.93,119.1,81,5.36,3,0,239.0,3338.0,Cape Coral
142,no,yes,40,237.4,105,40.36,175.9,93,14.95,210.3,110,9.46,3,0,850.0,7895.0,Tallahassee
26,no,no,0,234.5,109,39.87,216.5,129,18.4,191.6,94,8.62,3,0,850.0,3300.0,Tallahassee
91,no,yes,23,232.4,97,39.51,186.0,88,15.81,190.5,128,8.57,3,0,941.0,5633.0,Sarasota
138,no,no,0,241.8,93,41.11,170.5,83,14.49,295.3,104,13.29,3,0,407.0,1231.0,Orlando
74,no,no,0,230.9,93,39.25,223.0,78,18.96,157.8,101,7.1,3,0,850.0,4083.0,Tallahassee
149,no,no,0,217.7,91,37.01,273.5,74,23.25,226.9,99,10.21,3,0,386.0,3500.0,Daytona Beach
24,no,yes,29,236.3,105,40.17,190.8,114,16.22,129.0,105,5.81,3,0,813.0,9396.0,Tampa
135,no,no,0,218.8,123,37.2,242.8,64,20.64,85.8,80,3.86,4,0,407.0,2947.0,Orlando
147,yes,yes,24,219.9,118,37.38,208.5,116,17.72,352.5,111,15.86,3,0,850.0,5682.0,Tallahassee
68,no,no,0,231.1,57,39.29,153.4,55,13.04,191.3,123,8.61,3,0,941.0,3271.0,Sarasota
147,no,yes,36,254.2,78,43.21,228.1,105,19.39,98.0,125,4.41,5,0,813.0,7009.0,Tampa
85,no,no,0,255.3,114,43.4,194.6,83,16.54,276.6,78,12.45,3,0,786.0,1208.0,Miami
72,no,no,0,217.8,93,37.03,189.7,113,16.12,182.6,91,8.22,4,0,813.0,4806.0,Tampa
83,no,no,0,231.3,100,39.32,210.4,84,17.88,217.4,106,9.78,3,0,904.0,6145.0,Jacksonville
157,no,no,0,229.8,90,39.07,147.9,121,12.57,241.4,108,10.86,3,0,727.0,4298.0,Clearwater
67,no,no,0,310.4,97,52.77,66.5,123,5.65,246.5,99,11.09,4,0,407.0,6784.0,Orlando
176,no,no,0,223.2,76,37.94,214.4,131,18.22,154.4,80,6.95,3,0,561.0,6621.0,West Palm Beach
151,no,no,0,235.9,104,40.1,80.6,91,6.85,212.8,116,9.58,3,0,321.0,4712.0,Orlando
79,no,yes,21,264.3,79,44.93,202.8,118,17.24,173.4,92,7.8,4,0,407.0,1647.0,Orlando
27,no,no,0,232.1,81,39.46,210.8,101,17.92,165.4,87,7.44,5,0,786.0,2840.0,Miami
140,no,no,0,231.9,101,39.42,160.1,94,13.61,110.4,98,4.97,3,0,239.0,9097.0,Cape Coral
102,yes,no,0,224.2,81,38.11,243.3,90,20.68,147.8,66,6.65,3,0,850.0,9689.0,Tallahassee
94,yes,no,0,243.2,109,41.34,147.0,88,12.5,94.9,99,4.27,4,0,786.0,3046.0,Miami
99,no,no,0,238.4,96,40.53,246.5,130,20.95,198.4,117,8.93,3,0,904.0,7334.0,Jacksonville
121,yes,yes,44,254.1,127,43.2,180.2,108,15.32,196.2,129,8.83,3,0,386.0,3343.0,Daytona Beach
75,no,yes,24,225.5,119,38.34,182.0,108,15.47,270.9,106,12.19,3,0,321.0,4171.0,Orlando
54,yes,no,0,236.3,91,40.17,152.8,130,12.99,160.3,98,7.21,3,0,850.0,6932.0,Tallahassee
75,no,no,0,224.7,116,38.2,192.0,79,16.32,212.2,98,9.55,3,0,407.0,2091.0,Orlando
121,no,yes,24,218.2,88,37.09,348.5,108,29.62,212.6,118,9.57,3,0,941.0,9993.0,Sarasota
62,no,no,0,245.3,91,41.7,122.9,130,10.45,228.4,102,10.28,4,0,904.0,5423.0,Jacksonville
97,no,no,0,218.0,86,37.06,184.0,94,15.64,240.5,110,10.82,3,0,786.0,4030.0,Miami
111,no,no,0,229.4,107,39.0,214.1,99,18.2,289.6,95,13.03,4,0,386.0,2535.0,Daytona Beach
61,no,yes,33,270.7,53,46.02,200.7,116,17.06,201.7,102,9.08,3,0,386.0,5617.0,Daytona Beach
148,no,yes,25,230.7,102,39.22,233.8,109,19.87,215.8,90,9.71,3,0,850.0,9270.0,Tallahassee
101,no,no,0,217.7,118,37.01,231.7,128,19.69,185.3,128,8.34,3,0,850.0,1380.0,Tallahassee
95,no,yes,36,283.1,112,48.13,286.2,86,24.33,261.7,129,11.78,3,0,941.0,2098.0,Sarasota
126,yes,yes,34,244.9,118,41.63,219.6,105,18.67,210.8,136,9.49,4,0,407.0,3722.0,Orlando
132,no,no,0,240.1,115,40.82,180.4,91,15.33,133.4,122,6.0,3,0,904.0,7903.0,Jacksonville
95,no,yes,32,247.0,109,41.99,125.6,91,10.68,226.5,90,10.19,3,0,561.0,2220.0,West Palm Beach
101,no,yes,28,220.3,96,37.45,285.8,72,24.29,203.0,111,9.14,4,0,904.0,9127.0,Jacksonville
126,no,no,0,256.5,112,43.61,199.5,90,16.96,188.3,122,8.47,3,0,904.0,9663.0,Jacksonville
111,no,no,0,255.9,97,43.5,204.1,129,17.35,171.3,84,7.71,3,0,239.0,9513.0,Cape Coral
141,no,no,0,242.8,90,41.28,234.1,80,19.9,211.5,104,9.52,5,0,904.0,6773.0,Jacksonville
74,no,yes,31,249.4,70,42.4,209.5,59,17.81,180.6,75,8.13,4,0,561.0,8245.0,West Palm Beach
114,no,yes,28,225.8,94,38.39,193.0,117,16.41,232.4,100,10.46,4,0,727.0,9554.0,Clearwater
105,no,yes,24,274.7,99,46.7,193.5,118,16.45,299.6,109,13.48,3,0,386.0,6357.0,Daytona Beach
209,no,no,0,227.2,128,38.62,258.4,92,21.96,183.5,74,8.26,3,0,850.0,5310.0,Tallahassee
100,yes,no,0,219.4,112,37.3,225.7,102,19.18,255.3,95,11.49,4,0,407.0,9449.0,Orlando
99,no,yes,31,244.1,71,41.5,203.4,58,17.29,234.0,115,10.53,3,0,305.0,5076.0,Miami
171,no,yes,25,223.2,77,37.94,183.2,118,15.57,150.8,90,6.79,3,0,727.0,1557.0,Clearwater
189,no,yes,38,256.7,98,43.64,150.5,120,12.79,123.0,87,5.54,3,0,386.0,7888.0,Daytona Beach
157,no,no,0,276.2,95,46.95,165.8,119,14.09,151.6,79,6.82,3,0,941.0,7961.0,Sarasota
122,no,yes,27,253.7,84,43.13,229.2,109,19.48,190.5,123,8.57,7,0,941.0,1616.0,Sarasota
50,no,yes,22,252.9,112,42.99,177.9,99,15.12,158.4,146,7.13,3,0,904.0,2107.0,Jacksonville
83,no,no,0,221.4,103,37.64,231.8,103,19.7,122.5,100,5.51,3,0,813.0,4384.0,Tampa
48,no,yes,36,230.9,92,39.25,167.6,121,14.25,270.0,87,12.15,3,0,850.0,8450.0,Tallahassee
64,no,yes,31,228.6,88,38.86,248.5,109,21.12,167.1,124,7.52,3,0,786.0,7108.0,Miami
98,no,no,0,221.2,80,37.6,213.6,104,18.16,291.8,89,13.13,4,0,941.0,3237.0,Sarasota
147,no,no,0,248.6,83,42.26,148.9,85,12.66,172.5,109,7.76,3,0,941.0,2935.0,Sarasota
37,no,no,0,271.7,112,46.19,155.1,96,13.18,199.5,97,8.98,3,0,239.0,5678.0,Cape Coral
56,no,no,0,222.7,133,37.86,277.0,89,23.55,101.8,94,4.58,4,0,941.0,1759.0,Sarasota
86,no,no,0,226.3,88,38.47,223.0,107,18.96,255.6,92,11.5,4,0,561.0,2789.0,West Palm Beach
142,no,no,0,232.5,74,39.53,181.8,142,15.45,203.1,86,9.14,4,0,407.0,4617.0,Orlando
123,no,no,0,260.9,85,44.35,168.5,103,14.32,178.3,91,8.02,3,0,786.0,6594.0,Miami
104,no,yes,23,280.2,136,47.63,220.5,92,18.74,136.9,102,6.16,4,0,386.0,9790.0,Daytona Beach
192,no,no,0,221.6,101,37.67,285.2,50,24.24,167.4,83,7.53,4,0,727.0,8379.0,Clearwater
72,no,yes,37,220.0,80,37.4,217.3,102,18.47,152.8,71,6.88,3,0,321.0,1407.0,Orlando
87,no,yes,22,263.8,65,44.85,103.4,115,8.79,208.1,109,9.36,3,0,941.0,9443.0,Sarasota
124,no,no,0,251.5,85,42.76,214.2,98,18.21,186.1,71,8.37,3,0,727.0,1922.0,Clearwater
79,no,no,0,222.3,99,37.79,146.2,82,12.43,275.6,82,12.4,3,0,850.0,6931.0,Tallahassee
93,no,no,0,266.0,120,45.22,130.1,84,11.06,165.8,63,7.46,3,0,941.0,3135.0,Sarasota
36,no,no,0,235.1,97,39.97,196.8,104,16.73,259.7,110,11.69,3,0,561.0,8382.0,West Palm Beach
70,no,no,0,232.1,122,39.46,292.3,112,24.85,201.2,112,9.05,3,0,786.0,4582.0,Miami
102,no,no,0,234.8,125,39.92,199.2,99,16.93,163.2,88,7.34,4,0,941.0,8831.0,Sarasota
121,no,yes,31,237.1,63,40.31,205.6,117,17.48,196.7,85,8.85,4,0,941.0,2495.0,Sarasota
161,no,no,0,221.7,95,37.69,193.0,82,16.41,194.1,113,8.73,3,0,321.0,8005.0,Orlando
82,no,yes,34,232.6,121,39.54,153.2,115,13.02,286.7,77,12.9,3,0,813.0,7204.0,Tampa
141,no,no,0,260.2,131,44.23,179.2,120,15.23,135.0,119,6.08,3,0,850.0,7749.0,Tallahassee
101,no,no,0,253.2,89,43.04,237.9,114,20.22,154.3,85,6.94,4,0,305.0,5511.0,Miami
147,no,yes,33,251.5,107,42.76,234.1,110,19.9,213.4,87,9.6,3,0,786.0,7205.0,Miami
87,no,no,0,223.2,109,37.94,127.5,86,10.84,289.3,83,13.02,3,0,321.0,2799.0,Orlando
122,no,yes,33,270.8,96,46.04,220.4,110,18.73,169.9,104,7.65,4,0,941.0,7993.0,Sarasota
109,no,yes,35,230.5,116,39.19,265.8,130,22.59,269.7,69,12.14,5,0,850.0,9315.0,Tallahassee
137,no,no,0,242.1,118,41.16,191.0,93,16.24,218.6,50,9.84,3,0,904.0,5732.0,Jacksonville
131,no,no,0,240.9,108,40.95,167.4,91,14.23,322.2,109,14.5,3,0,239.0,4633.0,Cape Coral
69,no,no,0,228.2,70,38.79,263.7,80,22.41,142.6,60,6.42,3,0,727.0,5686.0,Clearwater
91,no,no,0,231.8,120,39.41,150.6,106,12.8,269.2,129,12.11,3,0,813.0,5337.0,Tampa
173,no,yes,21,232.4,96,39.51,211.9,118,18.01,273.0,102,12.29,3,0,321.0,5819.0,Orlando
